Produto,Preço,Marca
Inseris XR Cloridrato De Trazodona 300mg 10 Comprimidos Revestidos,"R$106,99",Inseris
Prednisona 20mg 10 Comprimidos EMS Genérico,"R$21,29",Ems
Inseris XR Cloridrato De Trazodona 150mg 10 Comprimidos Revestidos,"R$59,39",Inseris
Remeron Soltab Mirtazapina 30mg 30 Comprimidos,"R$277,98",Remeron Soltab
Naprox Naproxeno 500mg 20 Comprimidos,"R$46,59",Naprox
Flavenos Diosmina 450mg + Hesperidina 50mg 60 Comprimidos,"R$144,98",Flavenos
Citrato De Sildenafila 50mg 8 Comprimidos Medley Genérico,"R$33,19",Medley
Venaflon Diosmina 900mg + Hesperidina 100mg 60 Comprimidos,"R$266,00",Venaflon
Besilato De Anlodipino 10mg 30 Comprimidos Sandoz Genérico,"R$13,39",Sandoz
Prazy Pantoprazol Sódico Sesqui-Hidratado 20mg 28 Comprimidos,"R$40,78",Prazy
Apixabana 5mg 60 Comprimidos Medley Genérico,"R$187,99",Medley
Acetilcisteína 600mg/5g Granulado Sabor Laranja 16 Envelopes Prati Donaduzzi Genérico,"R$51,59",Acetilcisteina
"Novotram PAR Cloridrato De Tramadol 37,5mg + Paracetamol 325mg 20 Comprimidos","R$57,39",Novotram Par
Miofibrax Cloridrato De Ciclobenzaprina 5mg 15 Comprimidos,"R$11,79",Miofibrax
Sorine SSC Descongestionante Spray 100ml,"R$36,99",Sorine
Olanzapina 5mg 30 Comprimidos Germed Genérico,"R$69,99",Germed
Rivaroxabana 10mg 30 Comprimidos Medley Genérico,"R$165,00",Medley
Pamelor Cloridrato De Nortriptilina 50mg 30 Cápsulas,"R$82,99",Pamelor
Rivaroxabana 20mg 30 Comprimidos Medley Genérico,"R$66,40",Medley
Fluconazol 150mg 1 Cápsula Medley Genérico,"R$134,49",Medley
Olanzapina 5mg 30 Comprimidos Nova Química Genérico,"R$11,79",Nova Química
Pastilha Benalet Sabor Mel E Limão 12 Unidades,"R$45,59",Benalet
Apixabana 5mg 20 Comprimidos Medley Genérico,"R$37,39",Medley
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$48,79",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$165,25",Servier
Nexcare 3m Protetor Ocular Adulto 12un,"R$69,97",Nexcare
"Benatux Cloridrato De Difenidramina 2,5 Mg/Ml + Cloreto De Amônio 25 Mg/Ml + Citrato De Sódio 11,25 Mg/Ml Xarope 120ml","R$38,35",Benatux
Hedd Aripiprazol 10mg 30 Comprimidos,"R$14,90",Hedd
Bravan Duo Valsartana 80mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$180,98",Bravan
Rivaroxabana 20mg 15 Comprimidos Neo Quimica Genérico,"R$144,79",Neo Química
Vabam Rivaroxabana 20mg 15 Comprimidos,"R$65,59",Vabam
"Artritec Meloxicam 7,5mg 10 Comprimidos","R$91,49",Artritec
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$80,49",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$24,88",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$23,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$214,99",Rubenti
Profergan Cloridrato De Prometazina 20mg/G Creme Dermatológico 30g,"R$28,59",Profergan
"Apixabana 2,5mg 60 Comprimidos Medley Genérico","R$222,98",Medley
"Tenoftal Maleato De Timolol 0,5% Solução Oftálmica 5ml","R$25,93",Tenoftal
Dipropionato De Betametasona 5mg/Ml + Fosfato Dissódico De Betametasona 2mg/Ml Suspensão Injetável 1 Ampola 1ml Eurofarma Genérico,"R$6,93",Eurofarma
Pastilha Flogoral Sabor Laranja 4 Unidades,"R$27,98",Flogoral
Vabam Rivaroxabana 10mg 30 Comprimidos,"R$190,99",Vabam
Venlift Od 150mg 30 Cápsulas,"R$110,99",Venlift Od
Vabam Rivaroxabana 15mg 30 Comprimidos,"R$174,99",Vabam
Vabam Rivaroxabana 20mg 30 Comprimidos,"R$160,00",Vabam
Seroquel XRO Hemifumarato De Quetiapina 300mg 30 Comprimidos,"R$872,95",Seroquel Xro
Rivaxa Rivaroxabana 10mg 10 Comprimidos,"R$14,99",Rivaxa
Nevralgex Dipirona Monoidratada 300mg + Cafeína 50 Mg + Citrato De Orfenadrina 35 Mg 10 Comprimidos,"R$4,59",Nevralgex
Rivaxa Rivaroxabana 20mg 30 Comprimidos,"R$46,79",Rivaxa
Citrato De Sildenafila 50mg 4 Comprimidos EMS Genérico,"R$16,09",Ems
Vitamina D Cimed 50.000UI 4 Comprimidos,"R$64,99",Vitamina D
Venvanse 30mg 28 Cápsulas,"R$386,98",Venvanse
"Xafac Rivaroxabana 2,5mg 60 Comprimidos","R$107,49",Xafac
Lipless Ciprofibrato 100mg 90 Comprimidos,"R$100,40",Lipless
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$145,73",Oxotron
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$78,49",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$165,25",Servier
Xafac Rivaroxabana 15mg 28 Comprimidos,"R$69,97",Xafac
Queropax Hemifumarato De Quetiapina 25mg 30 Comprimidos,"R$39,52",Queropax
Xafac Rivaroxabana 20mg 28 Comprimidos,"R$78,99",Xafac
Venvanse Dimesilato De Lisdexanfetamina 50mg 28 Cápsulas,"R$39,52",Venvanse
"Spray Para Garganta Apis Flora Apigen Orgânico Própolis, Mel E Gengibre 30ml","R$469,96",Apis Flora
Dipirona Monoidratada 500mg 10 Comprimidos EMS Genérico,"R$20,78",Dipirona Sodica
Magnésia Sobral Tradicional Suspensão 100ml,"R$9,01",Magnesia Sobral
Rivaroxabana 20mg 15 Comprimidos Neo Quimica Genérico,"R$3,98",Neo Química
Litocit Citrato De Potássio 540mg 60 Comprimidos,"R$7,23",Litocit
Rivaroxabana 10mg 10 Comprimidos Neo Quimica Genérico,"R$91,49",Neo Química
Novalgina Dipirona 1g 4 Comprimidos,"R$63,99",Novalgina
Cebralat Cilostazol 100mg 60 Comprimidos,"R$58,99",Cebralat
Quenzor Succinato De Metoprolol 100mg 30 Cápsulas,"R$11,49",Quenzor
Anador 1G 10 Comprimidos,"R$84,99",Anador
Kit Renu Fresh Bausch Lomb Solução Oftálmica,"R$65,59",Bausch & Lomb
Etoricoxibe 60mg 7 Comprimidos Zydus Nikkho Genérico,"R$16,02",Zydus Brasil
Rivaroxabana 15mg 30 Comprimidos Cimed Genérico,"R$39,90",Cimed
Amoxicilina 875mg + Clavulanato De Potássio 125mg 14 Comprimidos Ranbaxy Genérico,"R$36,19",Ranbaxy
Naldecon Multi Paracetamol 800mg + Cloridrato Fenillefrina 20mg 16 Comprimidos,"R$71,48",Naldecon
Bravan Duo Valsartana 160mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$77,99",Bravan
Reconter Oxalato De Escitalopram 15mg 60 Comprimidos,"R$35,99",Reconter
Bramicar Telmisartana 40mg 60 Comprimidos,"R$64,59",Bramicar
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$180,98",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$145,99",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$23,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$214,99",Rubenti
Zider Cloridrato De Memantina 20mg/Ml Solução Oral 30ml,"R$28,59",Zider
Rivaxa Rivaroxabana 15mg 15 Comprimidos,"R$222,98",Rivaxa
Pastilha Vick Drops Sabor Mentol 5 Unidades,"R$82,99",Vick
Vitamina D Cimed 7.000UI 4 Comprimidos,"R$3,25",Vitamina D
Galvus Met Vildagliptina 50mg + Metformina 1000mg 56 Comprimidos,"R$222,17",Galvus Met
Alivium Ibuprofeno 200mg/Ml Suspensão Gotas 20ml,"R$62,39",Alivium
Glucoreumin Sulfato Glicosamina 1500mg Pó Para Solução Oral 30 Sachês,"R$265,00",Glucoreumin
Esc Odt Oxalato De Escitalopram 5mg 30 Comprimidos,"R$57,19",Esc Odt
Vick Pyrena Paracetamol 500mg/5g Mel E Limão Pó Para Solução Oral 5g,"R$4,83",Vick
Atorvastatina 40mg 30 Comprimidos Germed Genérico,"R$45,78",Germed
Patz SL Hemitartarato De Zolpidem 10mg 30 Comprimidos Sublinguais,"R$137,63",Patz
"Dexametasona 0,1mg Elixir 120ml EMS Genérico","R$17,19",Ems
Pant Sec Minoxidil 50mg/Ml Solução Capilar 50ml,"R$68,39",Pant
Pastilha Flogoral Sabor Menta 12 Unidades,"R$18,79",Flogoral
Gaballon Ácido Gamaminobutírico 50mg + L-Lisina 50mg + Tiamina 2mg + Piridoxina 4mg + Pantotenato De Cálcio 4mg 60 Comprimidos,"R$114,49",Gaballon
Ciclopirox Olamina 10mg/Ml Solução Tópica 15ml EMS Genérico,"R$25,19",Ems
Carbolitium Carbonato De Lítio 300mg 90 Comprimidos,"R$70,99",Carbolitium
"Sais Para Reidratação Oral Hidraplex Natulab Pó Para Solução Oral 4 Envelopes De 27,9g Cada","R$26,98",Hidraplex
Carbolitium CR Carbonato De Lítio 450mg 90 Comprimidos,"R$182,99",Carbolitium
Urbanil Clobazam 20mg 20 Comprimidos,"R$33,79",Urbanil
Tamisa 30 Gestodeno 75mcg + Etinilestradiol 30mcg 63 Comprimidos,"R$83,99",Tamisa
Stele Estriol 1mg Creme Vaginal 50g + 5 Aplicadores,"R$65,79",Stele
Nasojet 9mg Descongestionante Gotas 100ml,"R$50,48",Nasojet
Triancil Triancinolona 20mg Suspensão Injetável 5 Ampolas 1ml,"R$137,49",Triancil
Tamisa 30 Gestodeno 75mg + Etinilestradiol 30mg 28 Comprimidos,"R$49,19",Tamisa
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$78,49",Oxotron
Bravan Duo Valsartana 160mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$64,59",Bravan
Cloridrato De Amitriptilina 25mg 30 Comprimidos EMS Genérico,"R$18,09",Ems
Bravan Duo Valsartana 160mg + Besilato De Anlodipino 10mg 30 Comprimidos,"R$65,59",Bravan
Heimer Cloridrato De Memantina 10mg 60 Comprimidos,"R$77,99",Heimer
Bravan Duo Valsartana 320mg + Besilato De Anlodipino 10mg 30 Comprimidos,"R$99,99",Bravan
Amoxil Amoxicilina 500mg 21 Cápsulas,"R$39,10",Amoxil
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$165,25",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$69,97",Servier
Citrato De Sildenafila 50mg 4 Comprimidos Germed Genérico,"R$17,51",Germed
Cronocor Carvedilol 25mg 30 Comprimidos,"R$28,69",Cronocor
Luftal Gel Caps Simeticona 125mg 30 Cápsulas,"R$76,98",Luftal
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$23,99",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$214,99",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$28,59",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$222,98",Rubenti
Valsartana 80mg 30 Comprimidos Eurofarma Genérico,"R$55,99",Eurofarma
Esc Odt Oxalato De Escitalopram 15mg 30 Comprimidos,"R$133,98",Esc Odt
Valsartana 80mg 30 Comprimidos Cimed Genérico,"R$47,99",Cimed
"Niki Conect Drospirenona 3mg + Etinilestradiol 0,02mg 90 Comprimidos","R$65,20",Niki Conect
Vannair Fumarato De Formoterol 6mcg + Budesonida 200mcg Aerosol 120 Doses,"R$7,18",Vannair
Probiótico Repoflor 200mg 6 Cápsulas,"R$33,59",Repoflor
Endofer Ferripolimaltose 50mg/Ml Gotas 30ml,"R$35,70",Endofer
Acog Rivaroxabana 20mg 30 Comprimidos,"R$42,97",Acog
Laxante Fitoterápico Tamarine 12mg 20 Cápsulas,"R$84,49",Tamarine
Desduo Succinato De Desvenlafaxina 100mg 60 Comprimidos,"R$165,00",Desduo
Versa Enoxaparina Sódica 60mg 2 Seringas,"R$237,00",Versa
Desduo Succinato De Desvenlafaxina 50mg 60 Comprimidos,"R$127,00",Desduo
Vitamina D DPrev Colecalciferol 2.000UI 30 Comprimidos,"R$46,20",Dprev
Dprev Colecalciferol 7.000UI 4 Comprimidos,"R$32,34",Dprev
Embo Apixabana 5mg 60 Comprimidos,"R$19,16",Embo
Zapsy 30mg Com 30 Comprimidos,"R$9,58",Zapsy
Arcalion Sulbutiamina 200mg 60 Drágeas,"R$229,99",Arcalion
Maxalgina Dipirona Monoidratada 1g 10 Comprimidos,"R$101,99",Maxalgina
Somalgin Cardio Ácido Acetilsalicílico 200mg 32 Comprimidos,"R$153,99",Somalgin Cardio
Betrat Tiamina 100mg + Piridoxina 100mg + Cianocobalamina 5000mcg 90 Comprimidos,"R$12,49",Betrat
Cozaar Losartana Potássica 100mg 30 Comprimidos,"R$30,99",Cozaar
Endofer Ferripolimaltose 100mg 30 Comprimidos Mastigáveis,"R$201,98",Endofer
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$91,49",Oxotron
Sincro XR Cloridrato De Paroxetina 25mg 30 Comprimidos,"R$49,99",Sincro Xr
Rusovas Rosuvastatina Cálcica 10mg 60 Comprimidos,"R$78,49",Rusovas
Codein Fosfato De Codeína 60mg 12 Comprimidos,"R$127,00",Codein
Atacand Candesartana Cilexetila 16mg 30 Comprimidos,"R$60,79",Atacand
Androsten Tribulus Terrestris 94mg 30 Comprimidos,"R$44,59",Androsten
Cod Fosfato De Codeína 30mg 12 Comprimidos,"R$121,92",Cod
"Embo Apixabana 2,5mg 60 Comprimidos","R$138,99",Embo
Luftal Gel Caps Simeticona 125mg 30 Cápsulas,"R$25,46",Luftal
Naldecon Multi Paracetamol 800mg + Cloridrato Fenillefrina 20mg 4 Comprimidos,"R$229,99",Naldecon
Annita Nitazoxanida 20mg/Ml Pó Para Suspensão Oral 45ml,"R$76,98",Anita
Deprasil Cloridrato De Duloxetina 30mg 30 Cápsulas,"R$10,99",Deprasil
Losartana Potássica 100mg 30 Comprimidos Medley Genérico,"R$31,59",Medley
Embo Apixabana 5mg 20 Comprimidos,"R$54,39",Embo
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$21,69",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$74,99",Servier
Dicloridrato De Trimetazidina 35mg 60 Comprimidos Medley Genérico,"R$165,25",Medley
Rosuvastatina Cálcica 20mg 60 Comprimidos Pharlab Genérico,"R$69,97",Pharlab
"Jardiance Duo Empagliflozina 12,5mg + Metformina 850mg 60 Comprimidos","R$91,98",Jardiance Duo
Rohydorm Flunitrazepam 1mg 30 Comprimidos,"R$51,59",Rohydorm
Oxalato De Escitalopram 10mg 60 Comprimidos Medley Genérico,"R$216,00",Medley
Alpes XL Cloridrato De Bupropiona 150mg 30 Comprimidos,"R$29,09",Alpes Xl
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$60,39",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$100,99",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$23,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$214,99",Rubenti
"Targin Cloridrato De Oxicodona 5mg + Cloridrato De Naloxona 2,5mg 28 Comprimidos","R$28,59",Targin
Acog Rivaroxabana 10mg 60 Comprimidos,"R$222,98",Acog
Durogesic Fentanila 50mcg 5 Adesivos Transdérmicos,"R$201,98",Durogesic
Coristina D Pro Cloridrato Fenillefrina 4mg + Paracetamol 400mg + Maleato De Clorfeniramina 4mg 16 Comprimidos,"R$42,46",Coristina D
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$78,49",Oxotron
Alpes XL Cloridrato De Bupropiona 300mg 30 Comprimidos,"R$124,48",Alpes Xl
Brasart Valsartana 320mg 30 Comprimidos,"R$66,79",Brasart
Rybelsus 3mg 30 Comprimidos,"R$565,00",Rybelsus
Roxflan Besilato De Anlodipino 10mg 30 Comprimidos,"R$57,19",Roxflan
Rybelsus Semaglutida 14mg 30 Comprimidos,"R$824,00",Rybelsus
Lipiblock Orlistate 120mg 84 Cápsulas,"R$197,16",Lipiblock
EXTRATO PRóPOLIS VERDE 70 APIS FLORA 30ML,"R$47,40",Apis Flora
Tiag Ticagrelor 90mg 60 Comprimidos,"R$352,41",Tiag
Tegretol CR Carbamazepina 400mg 60 Comprimidos,"R$187,33",Tegretol
Montelucaste De Sódio 4mg 30 Comprimidos Ranbaxy Genérico,"R$57,28",Ranbaxy
Dormire Maleato De Midazolam 15mg 20 Comprimidos,"R$85,99",Dormire
Ancoron Cloridrato De Amiodarona 200mg 60 Comprimidos,"R$75,99",Ancoron
Brasart BCC Valsartana 320mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$124,49",Brasart
"Androgel Testosterona 16,2 Mg/G Pump Gel Transdérmico 88g","R$278,00",Androgel
Keppra XR Levetiracetam 500mg 60 Comprimidos,"R$250,22",Keppra
Brasart BCC Valsartana 320mg + Besilato De Anlodipino 10mg 30 Comprimidos,"R$271,88",Brasart
Etira Levetiracetam 500mg 60 Comprimidos,"R$136,58",Etira
Ciprofibrato 100mg 30 Comprimidos Neo Química Genérico,"R$118,99",Hypera
Hisbila Bilastina 20mg 30 Comprimidos,"R$37,39",Hisbila
Reconter Oxalato De Escitalopram 15mg 30 Comprimidos,"R$23,49",Reconter
Cloridrato De Donepezila 5mg 30 Comprimidos Medley Genérico,"R$68,41",Medley
Rusovas Rosuvastatina Cálcica 20mg 90 Comprimidos,"R$110,49",Rusovas
Oxalato De Escitalopram 10mg 60 Comprimidos Medley Genérico,"R$71,49",Medley
Tenoxicam 20mg 10 Comprimidos EMS Genérico,"R$140,48",Ems
Plaq Bissulfato De Clopidogrel 75mg 30 Comprimidos,"R$60,39",Plaq
Miosan Caf Ciclobenzaprina 5mg + Cafeina 30mg 15 Comprimidos,"R$46,79",Miosan
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$66,19",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$29,69",Servier
EXTRATO DE PRóPOLIS VERDE 11% (30ML) - BALDONI,"R$165,25",Baldoni
Carbonato De Lítio 300mg 60 Comprimidos Biolab Genérico,"R$69,97",Biolab
Extrato De Própolis Propomax Kids Apis Flora Uva Spray 30ml,"R$24,42",Propomax Kids
Suganon Tartarato De Evogliptina 5mg 30 Comprimidos,"R$31,59",Suganon
Rahime Ramelteona 8mg 10 Comprimidos,"R$19,19",Rahime
"Acertalix Perindopril Arginina 10mg + Indapamida 2,5mg 30 Comprimidos","R$124,00",Acertalix
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$33,59",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$101,70",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$23,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$214,99",Rubenti
Dexalgen NF Cianocobalamina 5000mcg + Fosfato Dissódico De Dexametasona 4mg + Cloridrato De Piridoxina 100mg + Tiamina 100mg 3 Ampolas 1ml + 3 Ampolas 2ml,"R$28,59",Dexalgen
Paracetamol Bebê 100mg/Ml Suspensão Oral Sabor Cereja 15ml EMS Genérico,"R$222,98",Paracetamol
Klev Rivaroxabana 15mg 28 Comprimidos,"R$48,59",Klev
Esomeprazol Magnésico 40mg 28 Comprimidos Medley Genérico,"R$25,74",Medley
Aberalgina Dipirona Monoidratada 500mg/ML Solução Gotas 20ml,"R$5,93",Aberalgina
Azi Azitomicina Di-Hidratada 500mg 3 Comprimidos,"R$24,19",Azi
Losartana Potássica 50mg 30 Comprimidos Nova Química Genérico,"R$6,15",Nova Química
Esomex Esomeprazol Magnésico 20mg 56 Comprimidos,"R$194,00",Esomex
Rahime Ramelteona 8mg 30 Comprimidos,"R$155,20",Rahime
"Naridrin Pediátrico Nafazolina 0,5mg + Mepiramina 0,2mg + Pantotenol 5mg Solução Nasal 15ml","R$97,99",Naridrin
"Libiam Tibolona 1,25mg 84 Comprimidos","R$9,95",Libiam
Montelair Montelucaste De Sódio 10mg 30 Comprimidos,"R$148,99",Montelair
"Nasoar Infantil 0,9% Solução Nasal 15 Envelopes + Lavador Nasal 120ml","R$119,19",Nasoar
Daforin Cloridrato De Fluoxetina 10mg 20 Cápsulas,"R$69,39",Daforin
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$44,90",Oxotron
Furoato De Mometasona 50mcg Spray Nasal 120 Doses Eurofarma Genérico,"R$40,39",Eurofarma
"Azitromicina Di-Hidratada 900mg Pó Para Suspensão Oral 22,5ml Pharlab Genérico","R$78,49",Pharlab
Olmetec Anlo Olmesartana Medoxomila 20mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$44,26",Olmetec
Azitromicina Di-Hidratada 600mg Pó Para Suspensão Oral 15ml Pharlab Genérico,"R$34,79",Pharlab
Noripurum Hidróxido De Ferro III 100mg 30 Comprimidos Mastigáveis,"R$146,49",Noripurum
Esomeprazol Magnésico 20mg 14 Comprimidos Ranbaxy Genérico,"R$28,39",Ranbaxy
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$71,85",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$50,99",Servier
Cloridrato De Ondansetrona 4mg Sabor Menta 10 Comprimidos Althaia Genérico,"R$165,25",Althaia
Pondera Cloridrato De Paroxetina 15mg 20 Comprimidos,"R$69,97",Pondera
Cloridrato De Ondansetrona 8mg 10 Comprimidos Althaia Genérico,"R$15,79",Althaia
Olmetec Anlo Olmesartana Medoxomila 40mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$67,99",Olmetec
Amoxicilina 500mg + Clavulanato De Potássio 125mg 14 Comprimidos Ranbaxy Genérico,"R$20,49",Ranbaxy
Luvox Maleato De Fluvoxamina 100mg 30 Comprimidos,"R$167,99",Luvox
Rosuvastatina Cálcica 10mg Medley 60 Comprimidos - Genérico,"R$88,49",Medley
Prebictal 75mg 30 Cápsulas,"R$299,00",Prebictal
Suganon Tartarato De Evogliptina 5mg 30 Comprimidos,"R$52,39",Suganon
Clonazepam 2mg 30 Comprimidos EMS Genérico,"R$93,99",Ems
Amoxicilina 875mg + Clavulanato De Potássio 125mg 14 Comprimidos Ranbaxy Genérico,"R$124,00",Ranbaxy
Pristiq Succinato De Desvenlafaxina Monoidratado 100mg 28 Comprimidos,"R$6,65",Pristiq
Doss Colecalciferol 15.000UI 8 Cápsulas,"R$77,99",Doss
Gynomax Tioconazol 100mg + Tinidazol 150mg Creme Vaginal 35g + 7 Aplicadores,"R$221,98",Gynomax
Novanlo Besilato De Levanlodipino 5mg 90 Comprimidos,"R$135,93",Novanlo
Prebictal 150mg 30 Cápsulas,"R$68,71",Prebictal
Nasoar XT 5% 15 Envelopes + Lavador Nasal 240ml,"R$48,10",Nasoar
Extrato De Própolis Propomax Kids Apis Flora Menta Spray 30ml,"R$98,99",Propomax Kids
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$245,00",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$167,05",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$93,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$19,16",Rubenti
"MEL DE LARANJEIRA BISNAGA 1,1KG - APISNUTRI","R$23,99",Imuni
"SPRAY DE PRóPOLIS, GENGIBRE E ROMã 30ML - APISNUTRI","R$214,99",Imuni
Rohydorm Flunitrazepam 2mg 30 Comprimidos,"R$28,59",Rohydorm
Seizla Lacosamida 150mg 30 Comprimidos,"R$222,98",Seizla
Dartrial Rivaroxabana 15mg 30 Comprimidos,"R$114,66",Dartrial
Alendil Cálcio D Alendronato Sódico 70mg + Vitamina D 200UI + Carbonato De Cálcio 1250mg 64 Comprimidos,"R$13,89",Alendil
Hidrali 45 Soro De Reidratação Sabor Água De Coco 500ml,"R$45,59",Hidrali
Sustrate Propatilnitrato 10mg 30 Comprimidos,"R$201,99",Sustrate
Lasix Furosemida 40mg 20 Comprimidos,"R$23,39",Lasix
Clavulin Amoxicilina Tri-Hidratada 500mg + Clavulanato De Potássio 125mg 30 Comprimidos,"R$101,05",Clavulin
Cloridrato De Bupropiona 150mg 60 Comprimidos EMS Genérico,"R$94,48",Ems
Hidrali 45 Soro De Reidratação Sabor Guaraná 500ml,"R$14,04",Hidrali
Vick Pyrena Paracetamol 500mg/5g Camomila E Erva-Cidreira Pó Para Solução Oral 5g,"R$4,83",Vick
Bilastina 20mg 30 Comprimidos Eurofarma Genérico,"R$51,99",Eurofarma
Betaserc Dicloridrato De Betaistina 16mg 30 Comprimidos,"R$45,19",Betaserc
Lakos Lacosamida 200mg 60 Comprimidos,"R$477,01",Lakos
Menelat Mirtazapina 45mg 30 Comprimidos,"R$198,99",Menelat
Insit 75mg - Pregabalina - 60 Cápsulas,"R$57,89",Insit
Fluxon Cinarizina 25mg 30 Comprimidos,"R$14,18",Fluxon
Nevrix - Cianocobalamina + Piridoxina + Tiamina - 60 Comprimidos,"R$148,99",Nevrix
Probiótico Floratil 200mg 6 Envelopes De 1g,"R$41,79",Floratil
Adesivo Para Alívio Da Febre Bye Bye Fever Crianças - 2 Unidades,"R$14,57",Byebye-Fever
"Ajovy Fremanezumabe 225mg Solução Injetável 1,5ml","R$10,20",Ajovy
Buscopan Composto 10mg + 250mg Blister - 4 Comprimidos,"R$1303,02",Buscopan
Geodon Cloridrato De Ziprasidona 80mg 30 Cápsulas,"R$6,29",Geodon
Pastilhas Pondicilina Mel E Limão 12 Pastilhas,"R$1039,04",Pondicilina
Leite De Magnésia Phillips Original 120ml,"R$9,86",Phillips
Pastilha Para Garganta Com Anti-Inflamatório E Analgésico Strepsils Sabor Mel E Limão 8 Unidades,"R$23,64",Strepsils
Extrato De Própolis Propomax Kids Apis Flora Menta Spray 30ml,"R$17,73",Propomax Kids
"Celestamine Maleato De Dexclorfeniramina 2mg/5ml + Betametasona + 0,25mg/5ml Xarope 120ml + Copo Dosador","R$16,19",Celestamine
Leite De Magnésia Phillips Original 350ml,"R$19,16",Phillips
Pronazol 150mg - Fluconazol - 4 Cápsulas,"R$64,59",Pronazol
Galvus Met Vildagliptina 50mg + Metformina 500mg 56 Comprimidos,"R$39,09",Galvus Met
Oxotron Loxoprofeno Sódico 60mg 30 Comprimidos,"R$29,32",Oxotron
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$54,66",Diovan Hct
Acertil Perindopril Arginina 5mg 30 Comprimidos,"R$222,17",Servier
Kalonat Sol 10ml Natulab,"R$78,49",Natulab
Embo Apixabana 5mg 20 Comprimidos,"R$165,25",Embo
"Picbam Apixabana 2,5mg 20 Comprimidos","R$69,97",Picbam
Tynna 20mg - Bilastina - 15 Comprimidos,"R$20,22",Tynna
Alivium Ibuprofeno 400mg 8 Cápsulas,"R$74,99",Alivium
Imuran Azatioprina 50mg 50 Comprimidos,"R$94,49",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$62,99",Roxflan
Rubenti Cloridrato De Mebeverina 200mg 60 Cápsulas,"R$23,99",Rubenti
KIT 3X: MEL PURO ORGâNICO ORGANIC 300G,"R$214,99",Organic
Fluxtar SR 6mg - Bromazepam - 30 Cápsulas,"R$28,59",Fluxtar Sr
Alcagest 300mg - 45 Cápsulas,"R$222,98",Alcagest
Leite De Magnésia Magmilk Tradicional 100ml,"R$124,88",Magmilk
